Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients,Image,Recipe,Recipe_Images,Preference,Allergies,Dish_type
Творожная запеканка с изюмом,365.6 кКал,13.4 г,18.6 г,37.3 г,"Творог Выселковский 9% [Агрокомплекс Выселковский]: 542 г; Яйцо куриное (Запекание): 2 С0; Сахар песок: 117 г; Манная крупа (Запекание): 88 г; Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 108 г; Изюм, золотистый, без косточек: 169 г; Подсолнечное масло: 10 г; Соль поваренная пищевая: 0.5 Чайная ложка (""...; Ванилин: 2 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621405," 1. Смешать все ингредиенты в средней миске. Масло, если замёрзшее, можно потереть на тёрке, а если мягкое, то размять вилкой. В тесте должны получиться маленькие кусочки масла. При запекании оно будет топиться и придаст нашей запеканки рыхлость и воздушность. Рекомендую взять не очень мелкую миску потому что манка будет разбухать.                           ;  2. Оставляем смесь под крышкой минимум часа на два. У меня простояло всю ночь в холодильнике.                           ;  3. Форму смазать растительным маслом и выложить в неё разбухшую смесь.                           ;  4. Нагреваем духовку до 180°. Выпекаем нашу запеканку примерно полчаса : смотрите по готовности. Первое время я накрывала запеканку фольгой для того чтобы она лучше пропеклась. В конце фольга снимается, чтобы получился румяный верх. Фольгой можно не накрывать. Всё зависит от вашей духовки.                           ;  5. По готовности достаём запеканку из духовки и даём ей остыть. После этого достаём запеканку из формы и выкладываем на блюдо. По желанию запеканку можно присыпать сахарной пудрой. ;  6. Такой десерт можно есть и с мёдом и с вареньем с любым сиропом- всё на ваше усмотрение , по вашему желанию, и по вашему вкусу. ;  7. Приятного аппетита!                           ;  8. Кстати, изюм можно заменить любой не очень сочной фруктой или ягодой. Отлично подойдут цукаты, сушеная клюква или вишня. Так же можно использовать и свежее фрукты, но не очень сочные.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621400; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621399,Сладкие блюда,Лактоза; Яйцо,Завтрак
Кабачки с чесноком и зеленью,84.6 кКал,1.3 г,5.8 г,6.7 г,"Кабачок (Жарка): 1045 г; Соль поваренная пищевая: 11 г; Чеснок (Мытьё, нарезка): 30 г; Укроп (Мытьё, нарезка): 56 г; Петрушка свежая (Мытьё, нарезка): 31 г; Подсолнечное масло: 45 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621410," 1. Возьмите кабачки среднего размера, желательно молодые. Помойте, удалите плодоножку. Порежьте кабачки на кружочки толщиной примерно сантиметр или полтора. Сложите в миску и посолите.                           ;  2. Отдельно подготовьте зелень. У меня были петрушка и укроп. Главное в этом блюде укроп, поэтому без петрушки можно обойтись. Мелко нарежьте зелень.                           ;  3. Очистите чеснок и мелко его нарежьте либо подавите.                           ;  4. Добавьте чеснок к зелени и всё вместе порубите до получения однородной массы. Блендер использовать не рекомендую. После блендера получается масса которая почему-то теряется мой вкус и вид. То есть выкладываем зелень и чеснок на разделочную доску, берём большой нож или секиру и начинаем рубить зелень одновременно её перемешивая.                           ;  5. Подготовьте также термостойкую ёмкость (это может быть кастрюля миска или любая другая ёмкость). Ёмкость должна быть сухая и с крышкой.                           ;  6. Когда зелень будет готова берём сковородку наливаем в неё небольшое количество масла. Масло берите по своему желанию любое растительное. Хорошо нагреваем масло. Выкладываем поэтапно кружочки кабачков в разогретое масло и обжариваем с двух сторон до хорошо румяного вида.                           ;  7. Когда кабачки подрумянились, перекладываем кружочки кабачков в подготовленную ёмкость. На каждый кружочек выкладываем небольшое количество чесночной зелени. После того как вы выбрали порцию кабачков и сковородки и на каждый кружочек положили зелень, ёмкость необходимо закрыть крышкой. Таким образом повторять пока не пожарите все подготовленные кабачки.                           ;  8. Чем быстрее вы будете закрывать крышку, тем больше сока дадут кабачки и лучше пропитаются чесночно-укропным запахом. Главное условие: выкладывать чесночно-укропную смесь именно на горячие кабачки. ;  9. Когда всё будет готово, отставьте закрытую с кабачками ёмкость до полного остывания. Кабачки дадут много сока и пропитаются. ;  10. Приятного аппетита!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621413; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621411; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621412; https://health-diet.ru/people/user/691940/blog/341997/#comments,Овощные блюда,Нет аллергенов,Обед; Ужин
Шоколадно-творожное печенье,437.2 кКал,14 г,22.8 г,43.4 г,"Творог 5% жирности (Запекание): 140 г; Кокосовое масло (жидкое): 60 г; Мед пчелиный: 100 г; Овсяная мука (Запекание): 120 г; Какао-порошок: 40 г; Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 2 г; Сода пищевая, разрыхлитель для выпечки: 2 г; Соль поваренная пищевая: 2 г; Шоколад молочный: 70 г; Яичный белок куриный (Запекание): 35 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621422," 1. Творог нужно взять мягкий без крупинок или пробить его блендером. Смешайте яичный белок, творог, соль, мед и растопленое кокосовое масло. По желанию, добавить ванильный экстракт. Затем добавьте овсяную муку, какао, соду и разрыхлитель. Смешивайте только до объединения. В самом конце добавьте 50 гр мелко порубленного шоколада.                           ;  2. Сформируйте шарики по 30 гр, у меня получилось 18 шт. Затем рукой приплюсните каждый шарик и в центр вдавите кусочек молочного шоколада, уберите в холодильник на 1 час. ;  3. Застелите противень пергамент ной бумагой и выложите печенье. Выпекайте в хорошо разогретой до 170 градусов духовке примерно 15-20 минут.                           ;  4. Готовое печенье переложить на решётку и дайте остыть. При желании его можно посыпать сахарной пудрой.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621420; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621421; https://health-diet.ru/people/user/648874/blog/341998/#comments,Хлебобулочные изделия; Сладкие блюда,Глютен; Лактоза; Яйцо,Перекус
Палтус с белокочанной капустой и шампиньонами,30.8 кКал,4.1 г,0.7 г,1.8 г,Палтус белокорый (Тушение): 40 г; Шампиньоны (Тушение): 150 г; Капуста белокочанная (Тушение): 100 г; Брокколи (Тушение): 30 г; Сельдерей (Тушение): 30 г; Соль поваренная пищевая: 1 г; Морская капуста (ламинария) сушеная (Варка без слива): 3 г; Вода: 200 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621443," 1. Шампиньоны помыла, почистила, ;  2. нарезала , посолила по вкусу и добавила специй потушила до готовности. ;  3. Капусту почистила, помыла, ;  4. нарезала, посолила, потушила до готовности с сельдереем и брокколи. ;  5. К готовой капусте добавила готовые шампиньоны. ;  6. Ламинарию взвесила , залила водицей и отварила. ;  7. Палтус посолила и потушила до готовности. ;  8. Украсила микро зелень. кейл. ;  9. Блюдо палтус с белокочанной капустой и шампиньонами готово.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621434; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621435; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621436; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621437; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621438; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621439; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621440; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621441; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621442,Русская Кухня; Блюда из морепродуктов; Овощные блюда,Морепродукты; Грибы,Обед; Ужин
"Зелёный лук, перо с варёным яйцом и сметаной",89.9 кКал,7.5 г,5.7 г,2.4 г,Яичный белок куриный (Варка): 68 г; Яичный желток куриный (Варка): 34 г; Лук зеленый (перо): 85 г; Соль поваренная пищевая: 2 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621574," 1. Лук перо, порезала кухонными ножничками. ;  2. Яйцо куриное варёное мелко накрошила. ;  3. Посолила нарезанный мелко зелёный лук и размяла толкушечкой. Так он становится сочнее и мягче. ;  4. Добавила 10% сметанки. ;  5. Всё перемешала, придала форму и посыпала микро зеленью. Блюдо готово.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621568; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621569; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621571; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621572; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621573; https://health-diet.ru/people/user/683447/blog/342055/#comments,Русская Кухня; Овощные блюда,Яйцо,Завтрак; Перекус
Салат `Три творога с овощами`,114.1 кКал,6.3 г,7.7 г,5.2 г,"Сыр рикотта 10,2% жирности, из цельного молока, м.д.ж. 39% в сух. в-ве: 20 г; Творог 5% жирности: 50 г; Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 30 г; Руккола: 25 г; Помидор (томат), парниковый: 70 г; Перец сладкий красный: 30 г; Лук сладкий, сырой: 10 г; Кабачок (Жарка): 85 г; Оливковое масло: 3 г; Соль поваренная пищевая: 0.5 г; Перец черный,  молотый или горошек: 0.3 г; Конопля, семя сушеное лущёное: 3 г; Тыквенные семечки, сушеные: 5 г; Уксус бальзамический: 7 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621593," 1. * первым делом пожарить на небольшом количестве оливкового масла шайбы кабачка. *Нарезать помидоры, болгарский перец, лук. * три творога смешать вилкой. чтобы это легче было делать , смесь можно прогреть 15-20 секунд в микроволновке. ================================= собираем салат: *на большую тарелку первым слоем выложить рукколу. *положить болгарский перец, помидоры, приготовленные кабачки, лук перьями. * выложить смешанный творог. *Слегка посолить, поперчить, сбрызнуть бальзамический уксусом, посыпать тыквенными семечками и ядрами семян конопли. Приятного аппетита!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621617; https://health-diet.ru/people/user/464113/blog/342068/#comments; https://health-diet.ru/away.php?to=https%3A%2F%2Fyoutube.com%2Fshorts%2F0UlJsUNcXI8%3Ffeature%3Dshare,Русская Кухня; Овощные блюда,Лактоза; Орехи,Завтрак; Обед; Ужин
Фрикагрудки припущеные на масле с луком и чесноком,187.5 кКал,19.7 г,10.1 г,4.4 г,"Грудка цыпленка-бройлера (филе) (Тушение): 800 г; Соль поваренная пищевая: 2 г; Перец черный,  молотый или горошек: 1 г; Чеснок, порошок: 1 г; Лук репчатый (Припускание): 10 г; Яйцо куриное (Запекание): 105 г; Мука с разрыхлителем без глютена: 50 г; Оливковое масло: 40 г; Чеснок (Припускание): 15 г; Лук репчатый (Припускание): 50 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620878," 1. Грудку филе перекручиваем на мясорубку ;  2. Добавляем яйца,соль,перец,чеснок ;  3. Муку ;  4. Перемешиваем ;  5. Припускаем лук и чеснок на масле ;  6. Формируем фрикадельки и отправляем на сковоробку,притушиваем с двух сторон ;  7. Убираем чеснок с луком ;  8. Как отдельное блюдо ;  9. В соусе с макарошками и сыром ;  10.        ;  11.         ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620879; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620880; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620882; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620883; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620885; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620875; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620889; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620877; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620891; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/620892; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621700; https://health-diet.ru/people/user/667582/blog/342090/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621730,Русская Кухня; Мясные блюда,Яблоки; Глютен; Лактоза; Морепродукты; Соя; Орехи; Грибы; Цитрусовые,Ужин
Овсяноблины с укропом,173.8 кКал,10.1 г,7.4 г,16.6 г,"Овсяные хлопья ""геркулес"" (Жарка): 50 г; Вода: 100 г; Яйцо куриное (Запекание): 100 г; Соль поваренная пищевая: 0.3 г; Укроп (Запекание): 20 г; Сода пищевая, разрыхлитель для выпечки: 0.1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621851, 1. Взбиваем ингредиенты блендером ;  2. Выпекаем как блины ;  3. Оборот        ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621852; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621853; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621854; https://health-diet.ru/people/user/486729/blog/342162/#comments; https://health-diet.ru/base_of_food/sostav/383.php,Хлебобулочные изделия; Обычное блюдо,Яйцо,Завтрак
Суп диабетика без картофеля с брокколи,26.4 кКал,0.6 г,1.7 г,2 г,"Вода: 1500 г; Морковь (Тушение): 180 г; Лук репчатый (Тушение): 140 г; Кабачок (Тушение): 175 г; Перец сладкий красный (Тушение): 14 г; Помидор (томат), грунтовый (Тушение): 80 г; Укроп (Мытьё, нарезка): 14 г; Куркума, молотая: 5 г; Брокколи (Варка без слива): 200 г; Соевое масло: 36 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621894, 1.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621895; https://health-diet.ru/people/user/743765/blog/342174/#comments,Овощные блюда,Нет аллергенов,Обед; Ужин
Луковые колечки  жареные на оливковом масле,142.1 кКал,3.1 г,8.3 г,13.5 г,Оливковое масло: 4 г; Лук репчатый (Жарка): 120 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621926," 1. Оливковое маслице полила на тефлоновую сковороду. ;  2. Лук репчатый, почистила, помыла. ;  3. Нарезала поперёк колец кружочками. ;  4. Жарила на тефлоновой сковородочке при 120 градусах 22 мин. др золотистого цвета. ;  5. Во время жарки лук стал мягким и при переворачивании распался на кольца. ;  6. Жареные луковые колечки готовы. Вкусны как самостоятельное блюдо. Можно использовать и в других блюдах. За время жарки лук поджарился и стал прозрачным, мягким, по краям золотистого цвета, вкус лука так же изменился с острого на сладкий.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621920; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621921; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621922; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621923; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621924; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621927; https://health-diet.ru/people/user/683447/blog/342179/#comments,Овощные блюда,Нет аллергенов,Перекус
Салат с куриной грудкой и сухариками,80.7 кКал,9.1 г,2.7 г,4.9 г,"Салат (латук): 60 г; Огурец парниковый: 80 г; Помидор (томат), парниковый: 80 г; Перец сладкий красный: 80 г; Сыр Primadonna Maturo (Примадонна Матуро): 20 г; Сухари из батона с итальянскими травами: 17 г; Соус с натуральным йогуртом и приправой для салата Цезарь.: 42 г; Куриная грудка с чесноком и травами: 130 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621801," 1. Салат,соус,черри ;  2. Огурчик ;  3. Перчик сладкий ;  4. Куриная грудка с приправами ;  5. Грудка на салат ;  6. Сухари ;  7. Сыр тертый,сухари  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621808; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621809; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621811; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621812; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621813; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621814; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621815; https://health-diet.ru/people/user/667582/blog/342199/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Лактоза; Яйцо,Обед; Ужин
Мощный завтрак,135.5 кКал,16.4 г,7.8 г,0.4 г,"Тунец Натуральный [Капитан Вкусов]: 240 г; Яйцо [Синявинское]: 192 г; Помидор (томат) желтый, сырые: 74 г; Укроп (Запекание): 10 г; Сыр Голландский: 53 г; Кокосовое Масло [Delicato]: 7 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622121, 1. Готовим в мультиварке поставить режим выпечка/пицца таймер на 25 минут и готовим до окончания программы.  ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622122; https://health-diet.ru/people/user/776995/blog/342251/#comments,Русская Кухня; Хлебобулочные изделия; Мясные блюда,Морепродукты; Яйцо,Завтрак
"Салат с куриной грудкой,авокадо,салатом латук",104.3 кКал,8.7 г,6.4 г,2.7 г,"Салат (латук): 60 г; Огурец парниковый: 40 г; Авокадо: 50 г; Помидор (томат), парниковый: 40 г; Кедровый орех, сушеный: 10 г; Куриная грудка с прованскими травами: 70 г; Сыр Primadonna Maturo (Примадонна Матуро): 10 г; Яйцо куриное вареное вкрутую: 52 г; Соус с натуральным йогуртом и приправой для салата Цезарь.: 40 г; Сок лимонный: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621974," 1. Латук моем ,сушим,режем.Авокадо присыпаем перчиком( солью по желанию) и лимонным соком.Добавляем соус. ;  2. Помидорки черри,огурчик,яйцо куриное отварное. ;  3. Куриная грудка припущенная с итальянскими травами ;  4. Сыр твердый тертый ;  5. Кедровые орешки  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621975; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621976; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621977; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621978; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621981; https://health-diet.ru/people/user/667582/blog/342311/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622361,Мясные блюда; Овощные блюда,Нет аллергенов,Обед; Ужин
Салат из кус-куса,80.3 кКал,1.9 г,3.3 г,10.4 г,"Кускус (кус-кус), приготовленный: 100 г; Огурец парниковый: 50 г; Перец сладкий красный: 50 г; Помидор (томат), парниковый: 50 г; Лук репчатый: 35 г; Чеснок: 5 г; Лимонный сок, необработанный: 15 г; Оливковое масло: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622363," 1. В сухой кус-кус добавить масло, и хорошенько перемешать. Добавить гранулированный чеснок, сбрызнуть соком лимона. Залить кипятком в пропорции 1:1, накрыть крышкой и оставить запариваться минут на 10.                           ;  2. Овощи порезать кубиками (у огурца удалить середину, если она очень водянистая), посолить, сбызнуть лимонным соком, добавить раздавленный чеснок, все тщательно перемешать.                           ;  3. Готовый кус-кус остудить и смешать с овощами.                           ;  4. Есть и получать удовольствие                            ",,Овощные блюда; Обычное блюдо,Нет аллергенов,Обед; Ужин
"Салат латук с куриной грудкой,овощами,сыром моцарелла и пармезан",87.8 кКал,9.7 г,4 г,2.7 г,"Салат (латук): 70 г; Соус с натуральным йогуртом и приправой для салата Цезарь.: 40 г; Авокадо: 60 г; Перец сладкий красный: 60 г; Помидор (томат), парниковый: 60 г; Огурец парниковый: 70 г; Куриная грудка с прованскими травами: 140 г; Сыр Primadonna Maturo (Примадонна Матуро): 20 г; Сок лимонный: 10 г; Сыр моцарелла, м.д.ж. 44% в сух. в-ве: 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621990," 1. Салат,соус,авокадо,черри помидорки ;  2. Огурчик ;  3. Перец сладкий ;  4. Моцарелла ;  5. Сыр пармезан ;  6. Курица, грудка ;  7. Сыр ;  8. Приятного аппетита))  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621991; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621992; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621994; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621995; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621996; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621997; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621998; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/621999; https://health-diet.ru/people/user/667582/blog/342366/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Лактоза; Яйцо; Орехи,Обед; Ужин
Свинина под шубой,139.4 кКал,13.5 г,7.7 г,3 г,"Свинина, плечевая часть: 70 г; Лук репчатый (Запекание): 50 г; Шампиньоны (Запекание): 50 г; Сыр литовский, м.д.ж. 30% в сух. в-ве: 15 г; Соль поваренная пищевая: 2 г; Перец черный,  молотый или горошек: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622581," 1. Мясо нарезать поперёк волокон и отбить ;  2. Посолить и поперчить по вкусу ;  3. Лук порезать четверть кольцами или мельче и укрыть мясо ;  4. Сверху шубка из шампиньонов (нарезанный) и сыра (натереть) ;  5. Для худеющих на этом все, а для домашних перед выпеканием можно сверху полить майонезом или соусом из майонеза и сырого яйца. Наше мясо отправляем в заморозку. Когда нам нужен вкусный ужин и нет времени, достаём сию вкусняшку и не размораживая запихиваем в духовку. Запекаем при 180 градусов до золотистого цвета это займёт около 45 минут.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622584; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622585; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622586; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622587,Русская Кухня,Нет аллергенов,Обед; Ужин
Творожно-вишневая запеканка с эстрагонном,114.8 кКал,12.9 г,4 г,6.2 г,"Творог 5% жирности (Запекание): 200 г; Вишня (Запекание): 105 г; Яйцо куриное (Запекание): 1 Штука; Манная крупа (Запекание): 4 г; Эстрагон (тархун), зелень свежая: 100 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622626," 1. Творог вологодский протереть, добавить сахарозаменитель, немного манки и свежее яйцо. Всё перемешать.                           ;  2. Узбекскую вишню (она имеет сладкий вкус) промыть, удалить косточки. Я просто острым ножом делаю надрез и вынимаю косточку пальцами.                           ;  3. Разогретый противень сбрызнуть оливковым маслом. Выложить творожную массу. Разровнять ложкой. Сверху положить вишню, слегка придавливая её.                           ;  4. Поставить запекать в горячую духовку на 15-20 минут при 200 градусов.                           ;  5. Тархун вымыть, разломить на три части и выложить по краю тарелки. Аккуратно снять запеканку и выложить её на тарелку в центр. Подавать сразу. Приятного аппетита.                            ",https://health-diet.ru/people/user/753192/blog/342424/#comments,Сладкие блюда,Лактоза; Яйцо,Завтрак
"Микросалат с тунцом,авокадо с кедровым маслом",134.4 кКал,5.9 г,10.1 г,3.8 г,"Микросалат с машем,горчицей,крессалатом с кедровым маслом: 220 г; Авокадо: 40 г; Лимон: 20 г; Маринованный тунец в кунжуте: 80 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622483," 1. Микросалат с машем,горчицей,крессалатом с кедровым маслом ;  2. Укладываем на тарелку салат,авокадо,лимон ;  3. Тунец нарезаем пластинками, укладываем на салат ;  4. Приятного аппетита)) ;  5. Маринованный тунец в кунжуте  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622476; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622477; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622479; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622480; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622488; https://health-diet.ru/people/user/667582/blog/342428/#comments,Блюда из морепродуктов; Овощные блюда,Морепродукты; Орехи,Обед; Ужин
Палтус запечённый на веточках розмарина,193.5 кКал,12.9 г,13.6 г,2.3 г,"Палтус синекорый, дикий, однократной морской заморозки: 400 г; Розмарин, свежий: 100 г; Лимонный сок, необработанный: 25 г; Эстрагон (тархун), зелень свежая (Запекание): 20 г; Оливковое масло: 10 г; Паприка, перец сладкий молотый: 5 г; Перец черный,  молотый или горошек: 2 г; Орегано, сушеный: 2 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622627," 1. Мороженный палтус на ночь перемещаем на среднюю полку холодильника, чтобы обеспечить щадящий режим размораживания и сохранить максимально полезные свойства рыбы. ;  2. Подготовить маринад. Для этого смешать черный молотый перец с соком лимона, свежим тимьяном, паприкой, орегано, оливковым маслом. ;  3. Утром промыть рыбу под проточной водой, слегка зачистить кожу. Натереть его маринадом, положить в тару и оставить мариноваться минимум на почаса. Можно в холодильник положить до момента готовке. ;  4. На дно формы для запекания положить свежие веточки розмарина. На них выложить палтус. Поставить в духовку на 20 минут при температуре 220 градусов. Я на режиме гриль готовлю. ;  5. Подавать горячим. Приятного аппетита.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622628; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622630; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622631; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622632; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622637; https://health-diet.ru/people/user/753192/blog/342429/#comments,Блюда из морепродуктов; Мясные блюда,Нет аллергенов,Ужин
Палтус с салатом из кускуса,160.8 кКал,8.9 г,10.7 г,5.3 г,"Палтус синекорый, дикий, однократной морской заморозки: 400 г; Эстрагон (тархун), зелень свежая: 200 г; Помидор (томат), грунтовый: 112 г; Розмарин, свежий: 100 г; Руккола: 88 г; Вода: 80 г; Оливки зеленые, маринованные, консервированные: 50 г; Сок лимонный: 40 г; Кускус (кус-кус), сухой: 31 г; Оливковое масло: 30 г; Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 28 г; Паприка, перец сладкий молотый: 5 г; Перец черный,  молотый или горошек: 2 г; Орегано, сушеный: 2 г; Тимьян, свежий: 20 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622645," 1. Палтус запечь по моему рецепту ""Палтус запечёный на веточках розмарина"". Перед запеканием рыбу посыпать тёртым пармезаном. ;  2. Кус-кус залить кипятком, промыть и слить трижды кипяток. Далее добавить кипящую воду и закрыть крышкой.                           ;  3. Нарезать листья свежего тархуна и рукколы. ;  4. С помидоров снять кожицу, обдав их кипятком. Мелко нарезать кубиками. ;  5. Смешать готовый горячий кус-кус с 1 ст. л. ложкой оливкового масла, помидорами и зеленью. Полить соком из выжатого лимона. ;  6. На тарелку выложить горячий палтус, рядом салат из кус-куса. Подавать немедленно!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622646; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622649; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622648; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622650; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/622651; https://health-diet.ru/people/user/753192/blog/342435/#comments,Блюда из морепродуктов,Нет аллергенов,Ужин
